leaf_name,iucn_status,domain,kingdom,phylum,N,EDGE2_mean,min,2.5pct,median,97.5pct,max,ED2_mean,min,2.5pct,median,97.5pct,max,p_ext_mean,min,2.5pct,median,97.5pct,max
Lophoceros_semifasciatus_ott6520901,No status,no_domain,no_kingdom,no_phylum,1000,11.340507,0.084291,0.486103,6.746750,30.961104,30.961104,30.964200,30.964200,30.964200,30.964200,30.964200,30.964200,0.366246,0.002722,0.015699,0.217889,0.999900,0.999900
Rhinoplax_vigil_ott248499,CR,no_domain,no_kingdom,no_phylum,1000,11.167882,8.504355,8.612551,11.731087,12.340961,12.353502,12.329175,12.314561,12.317662,12.328082,12.346681,12.357205,0.905812,0.689829,0.698387,0.951564,0.999900,0.999900
Centropus_steerii_ott4947389,CR,no_domain,no_kingdom,no_phylum,1000,11.153629,8.161735,8.537569,11.818692,12.632135,12.756784,12.204230,11.778675,11.836344,12.181573,12.670128,12.758060,0.913833,0.689342,0.701572,0.976765,0.999900,0.999900
Apalis_fuscigularis_ott3598939,CR,no_domain,no_kingdom,no_phylum,1000,10.983086,8.329319,8.465469,11.687077,12.081792,12.081792,12.083000,12.083000,12.083000,12.083000,12.083000,12.083000,0.908970,0.689342,0.700610,0.967233,0.999900,0.999900
Anurolimnas_castaneiceps_ott32324,No status,no_domain,no_kingdom,no_phylum,1000,10.954883,0.054038,0.429960,7.010534,29.352794,29.352794,29.355730,29.355730,29.355730,29.355730,29.355730,29.355730,0.373177,0.001841,0.014647,0.238813,0.999900,0.999900
Gypaetus_barbatus_ott317001,EN,no_domain,no_kingdom,no_phylum,1000,10.911820,7.427347,7.596060,10.751009,14.846700,15.377308,21.933888,21.554528,21.585163,21.899143,22.388745,22.456483,0.497484,0.342721,0.348539,0.491218,0.679190,0.688856
Strigops_greyii_ott7663184,No status,no_domain,no_kingdom,no_phylum,1000,10.827204,0.055082,0.503832,6.935967,28.746997,29.285805,28.383111,27.838012,27.898145,28.330498,29.119083,29.410066,0.381265,0.001977,0.017477,0.245765,0.999900,0.999900
Mionectes_galbinus_ott6520813,No status,no_domain,no_kingdom,no_phylum,1000,10.798460,0.063843,0.528804,6.730457,28.394220,28.394220,28.397060,28.397060,28.397060,28.397060,28.397060,28.397060,0.380267,0.002248,0.018622,0.237012,0.999900,0.999900
Ninox_mindorensis_ott3595723,No status,no_domain,no_kingdom,no_phylum,1000,10.731140,0.141715,0.470073,6.724980,30.784821,30.784821,30.787900,30.787900,30.787900,30.787900,30.787900,30.787900,0.348551,0.004603,0.015268,0.218429,0.999900,0.999900
Acrocephalus_sorghophilus_ott3598132,CR,no_domain,no_kingdom,no_phylum,1000,10.716771,8.141588,8.309609,11.364637,11.805319,11.805319,11.806500,11.806500,11.806500,11.806500,11.806500,11.806500,0.907701,0.689585,0.703816,0.962575,0.999900,0.999900
