uid	|	parent_uid	|	name	|	rank	|	sourceinfo	|	uniqname	|	flags	|	
3594672	|	802684	|	Typhlonarke tarakea	|	species	|	worms:283077,gbif:2419770,irmng:10134416	|		|		|	
3594677	|	932203	|	Heteronarce	|	genus	|	worms:205603,gbif:2417731,irmng:1029626	|		|		|	
3594676	|	3594677	|	Heteronarce garmani	|	species	|	worms:220971,gbif:2419741,irmng:10838025	|		|		|	
3594681	|	3594677	|	Heteronarce bentuviai	|	species	|	worms:278300,gbif:2419745,irmng:11306900	|		|		|	
3594682	|	3594677	|	Heteronarce mollis	|	species	|	worms:278301,gbif:2419739,irmng:10134432	|		|		|	
3594683	|	3594677	|	Heteronarce prabhui	|	species	|	worms:278302,gbif:2419744,irmng:10702607	|		|		|	
3594673	|	932203	|	Temera	|	genus	|	worms:271056,gbif:2419765,irmng:1360170	|		|		|	
3594679	|	3594673	|	Temera hardwickii	|	species	|	worms:282938,gbif:2419766,irmng:11109529	|		|		|	
3594675	|	932203	|	Electrolux	|	genus	|	worms:397431,gbif:2419748,irmng:1006597	|		|		|	
3594674	|	3594675	|	Electrolux addisoni	|	species	|	worms:398282,gbif:2419749,irmng:11442673	|		|		|	
4139361	|	356640	|	Torpediniformes sp. BOLD:AAD7045	|	species	|	ncbi:855066	|		|	incertae_sedis	|	
4139362	|	356640	|	Torpediniformes sp. BOLD:AAC2566	|	species	|	ncbi:855064	|		|	incertae_sedis	|	
4139363	|	356640	|	Torpediniformes sp. BOLD:AAC6970	|	species	|	ncbi:855065	|		|	incertae_sedis	|	
4139358	|	356640	|	Torpediniformes sp. BOLD:AAN2286	|	species	|	ncbi:976992	|		|	incertae_sedis	|	
4139359	|	356640	|	Torpediniformes sp. BOLD:AAE3661	|	species	|	ncbi:976990	|		|	incertae_sedis	|	
4139360	|	356640	|	Torpediniformes sp. BOLD:AAN2285	|	species	|	ncbi:976991	|		|	incertae_sedis	|	
