RL.cat,pext
LC,0.05154609
LC,0.051591802
LC,0.051637495
LC,0.051683169
LC,0.051728823
LC,0.051774459
LC,0.051820076
LC,0.051865674
LC,0.051911253
LC,0.051956812
LC,0.052002353
LC,0.052047875
LC,0.052093378
LC,0.052138862
LC,0.052184327
LC,0.052229773
LC,0.0522752
LC,0.052320609
LC,0.052365998
LC,0.052411369
LC,0.05245672
LC,0.052502053
LC,0.052547367
LC,0.052592663
LC,0.052637939
LC,0.052683197
LC,0.052728436
LC,0.052773656
LC,0.052818857
LC,0.05286404
LC,0.052909204
LC,0.05295435
LC,0.052999476
LC,0.053044584
LC,0.053089674
LC,0.053134744
LC,0.053179796
LC,0.05322483
LC,0.053269845
LC,0.053314841
LC,0.053359819
LC,0.053404778
LC,0.053449718
LC,0.05349464
LC,0.053539544
LC,0.053584429
LC,0.053629295
LC,0.053674143
LC,0.053718973
LC,0.053763784
LC,0.053808577
LC,0.053853351
LC,0.053898107
LC,0.053942844
LC,0.053987563
LC,0.054032264
LC,0.054076946
LC,0.05412161
LC,0.054166256
LC,0.054210883
LC,0.054255492
LC,0.054300083
LC,0.054344655
LC,0.054389209
LC,0.054433745
LC,0.054478263
LC,0.054522762
LC,0.054567243
LC,0.054611706
LC,0.054656151
LC,0.054700578
LC,0.054744986
LC,0.054789377
LC,0.054833749
LC,0.054878103
LC,0.054922439
LC,0.054966757
LC,0.055011057
LC,0.055055338
LC,0.055099602
LC,0.055143848
LC,0.055188076
LC,0.055232285
LC,0.055276477
LC,0.05532065
LC,0.055364806
LC,0.055408944
LC,0.055453064
LC,0.055497166
LC,0.055541249
LC,0.055585315
LC,0.055629364
LC,0.055673394
LC,0.055717406
LC,0.055761401
LC,0.055805378
LC,0.055849337
LC,0.055893278
LC,0.055937201
LC,0.055981106
LC,0.056024994
LC,0.056068864
LC,0.056112716
LC,0.056156551
LC,0.056200368
LC,0.056244167
LC,0.056287948
LC,0.056331712
LC,0.056375458
LC,0.056419186
LC,0.056462897
LC,0.05650659
LC,0.056550266
LC,0.056593924
LC,0.056637564
LC,0.056681187
LC,0.056724792
LC,0.05676838
LC,0.05681195
LC,0.056855503
LC,0.056899038
LC,0.056942556
LC,0.056986056
LC,0.057029539
LC,0.057073004
LC,0.057116452
LC,0.057159883
LC,0.057203296
LC,0.057246691
LC,0.05729007
LC,0.057333431
LC,0.057376774
LC,0.0574201
LC,0.057463409
LC,0.057506701
LC,0.057549975
LC,0.057593232
LC,0.057636472
LC,0.057679694
LC,0.0577229
LC,0.057766088
LC,0.057809259
LC,0.057852412
LC,0.057895549
LC,0.057938668
LC,0.05798177
LC,0.058024855
LC,0.058067922
LC,0.058110973
LC,0.058154007
LC,0.058197023
LC,0.058240022
LC,0.058283005
LC,0.05832597
LC,0.058368918
LC,0.058411849
LC,0.058454763
LC,0.058497661
LC,0.058540541
LC,0.058583404
LC,0.05862625
LC,0.058669079
LC,0.058711892
LC,0.058754687
LC,0.058797466
LC,0.058840227
LC,0.058882972
LC,0.0589257
LC,0.058968411
LC,0.059011105
LC,0.059053782
LC,0.059096443
LC,0.059139086
LC,0.059181713
LC,0.059224323
LC,0.059266917
LC,0.059309493
LC,0.059352053
LC,0.059394597
LC,0.059437123
LC,0.059479633
LC,0.059522126
LC,0.059564602
LC,0.059607062
LC,0.059649505
LC,0.059691932
LC,0.059734342
LC,0.059776735
LC,0.059819112
LC,0.059861472
LC,0.059903815
LC,0.059946142
LC,0.059988453
LC,0.060030747
LC,0.060073024
LC,0.060115285
LC,0.06015753
LC,0.060199758
LC,0.06024197
LC,0.060284165
LC,0.060326343
LC,0.060368506
LC,0.060410652
LC,0.060452781
LC,0.060494894
LC,0.060536991
LC,0.060579072
LC,0.060621136
LC,0.060663183
LC,0.060705215
LC,0.06074723
LC,0.060789229
LC,0.060831212
LC,0.060873178
LC,0.060915128
LC,0.060957062
LC,0.06099898
LC,0.061040882
LC,0.061082767
LC,0.061124636
LC,0.061166489
LC,0.061208326
LC,0.061250147
LC,0.061291952
LC,0.06133374
LC,0.061375513
LC,0.061417269
LC,0.061459009
LC,0.061500734
LC,0.061542442
LC,0.061584134
LC,0.06162581
LC,0.06166747
LC,0.061709115
LC,0.061750743
LC,0.061792355
LC,0.061833952
LC,0.061875532
LC,0.061917097
LC,0.061958645
LC,0.062000178
LC,0.062041695
LC,0.062083196
LC,0.062124681
LC,0.06216615
LC,0.062207604
LC,0.062249041
LC,0.062290463
LC,0.062331869
LC,0.06237326
LC,0.062414634
LC,0.062455993
LC,0.062497336
LC,0.062538664
LC,0.062579975
LC,0.062621271
LC,0.062662552
LC,0.062703816
LC,0.062745065
LC,0.062786299
LC,0.062827517
LC,0.062868719
LC,0.062909905
LC,0.062951076
LC,0.062992232
LC,0.063033372
LC,0.063074496
LC,0.063115605
LC,0.063156698
LC,0.063197776
LC,0.063238838
LC,0.063279885
LC,0.063320917
LC,0.063361933
LC,0.063402933
LC,0.063443918
LC,0.063484888
LC,0.063525842
LC,0.063566781
LC,0.063607705
LC,0.063648613
LC,0.063689506
LC,0.063730383
LC,0.063771246
LC,0.063812092
LC,0.063852924
LC,0.063893741
LC,0.063934542
LC,0.063975328
LC,0.064016098
LC,0.064056854
LC,0.064097594
LC,0.064138319
LC,0.064179029
